,Ag_0,Ag_1,Ag_2,Ag_3,Ag_4,Ag_5,Ag_6,Ag_7,Ag_8,Ag_9,Ag_10,Ag_11,Ag_12,Ag_13,Ag_14,Ag_15,Ag_16,Ag_17,Ag_18,Ag_19,Ag_20,Ag_21,Ag_22,Ag_23,Ag_24,Ag_25,Ag_26,Ag_27,Ag_28,Ag_29,Ag_30,Ag_31,Ag_32,Ag_33,Ag_34,Ag_35,Ag_36,Ag_37,Ag_38,Ag_39,Ag_40,Ag_41,Ag_42,Ag_43,Ag_44,Ag_45,Ag_46,Ag_47,Ag_48,Ag_49,Ag_50,Ag_51,Ag_52,Ag_53,Ag_54,Ag_55,Ag_56,Ag_57,Ag_58,Ag_59,User_Reference_Seq
Ag_10,0.031578947368421054,0.023255813953488372,0.023255813953488372,0.02631578947368421,0.02586206896551724,0.9215686274509803,0.2379746835443038,0.010256410256410256,0.031914893617021274,0.00984251968503937,1.0,0.00686106346483705,0.0068846815834767644,0.006589785831960461,0.003784295175023652,0.006611570247933884,0.015625,0.016304347826086956,0.015957446808510637,0.01910828025477707,0.026785714285714284,0.031914893617021274,0.005791505791505791,0.0070921985815602835,0.0088339222614841,0.008156606851549755,0.023255813953488372,0.014354066985645933,0.01804123711340206,0.010619469026548672,0.005291005291005291,0.02586206896551724,0.03361344537815126,0.02586206896551724,0.010362694300518135,0.04424778761061947,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.013793103448275862,0.011661807580174927,0.005780346820809248,0.011730205278592375,0.011627906976744186,0.02074688796680498,0.011527377521613832,0.011627906976744186,0.04065040650406504,0.061855670103092786,0.9894736842105263,0.0031570639305445935,0.9894736842105263,0.04424778761061947,0.00530035335689046
Ag_11,0.00686106346483705,0.00686106346483705,0.00686106346483705,0.00686106346483705,0.00686106346483705,0.00686106346483705,0.00686106346483705,0.00686106346483705,0.005145797598627788,0.008576329331046312,0.00686106346483705,1.0,0.9931389365351629,0.9604612850082372,0.5515610217596972,0.9553719008264463,0.00686106346483705,0.00686106346483705,0.00686106346483705,0.008576329331046312,0.0137221269296741,0.005145797598627788,0.00686106346483705,0.9433962264150944,0.008576329331046312,0.40456769983686786,0.00686106346483705,0.008576329331046312,0.00686106346483705,0.00686106346483705,0.00686106346483705,0.008576329331046312,0.008576329331046312,0.008576329331046312,0.008576329331046312,0.00686106346483705,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.00686106346483705,0.00686106346483705,0.00686106346483705,0.00686106346483705,0.00686106346483705,0.010291595197255575,0.00686106346483705,0.00686106346483705,0.00686106346483705,0.00686106346483705,0.00686106346483705,0.003946329913180742,0.00686106346483705,0.00686106346483705,0.00686106346483705
Ag_12,0.0051635111876075735,0.0068846815834767644,0.0068846815834767644,0.008605851979345954,0.008605851979345954,0.0068846815834767644,0.0068846815834767644,0.0068846815834767644,0.0051635111876075735,0.008605851979345954,0.0068846815834767644,0.9931389365351629,1.0,0.957166392092257,0.5496688741721855,0.9504132231404959,0.0068846815834767644,0.0068846815834767644,0.0068846815834767644,0.008605851979345954,0.013769363166953529,0.0051635111876075735,0.0068846815834767644,0.9432013769363167,0.008605851979345954,0.401305057096248,0.0068846815834767644,0.008605851979345954,0.0068846815834767644,0.0068846815834767644,0.0068846815834767644,0.008605851979345954,0.008605851979345954,0.008605851979345954,0.008605851979345954,0.0068846815834767644,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.0068846815834767644,0.0068846815834767644,0.0068846815834767644,0.0068846815834767644,0.0068846815834767644,0.010327022375215147,0.0068846815834767644,0.0068846815834767644,0.0068846815834767644,0.0068846815834767644,0.0068846815834767644,0.003946329913180742,0.0068846815834767644,0.0068846815834767644,0.0068846815834767644
Ag_13,0.006589785831960461,0.006589785831960461,0.006589785831960461,0.006589785831960461,0.006589785831960461,0.006589785831960461,0.006589785831960461,0.006589785831960461,0.004942339373970346,0.008237232289950576,0.006589785831960461,0.9604612850082372,0.957166392092257,1.0,0.5742667928098392,0.9752883031301482,0.006589785831960461,0.006589785831960461,0.006589785831960461,0.008237232289950576,0.013179571663920923,0.004942339373970346,0.006589785831960461,0.929159802306425,0.008237232289950576,0.4110929853181077,0.006589785831960461,0.008237232289950576,0.006589785831960461,0.006589785831960461,0.006589785831960461,0.008237232289950576,0.008237232289950576,0.008237232289950576,0.008237232289950576,0.006589785831960461,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.006589785831960461,0.006589785831960461,0.006589785831960461,0.006589785831960461,0.006589785831960461,0.009884678747940691,0.006589785831960461,0.006589785831960461,0.006589785831960461,0.006589785831960461,0.006589785831960461,0.003946329913180742,0.006589785831960461,0.006589785831960461,0.006589785831960461
Ag_14,0.003784295175023652,0.004730368968779565,0.004730368968779565,0.005676442762535478,0.005676442762535478,0.003784295175023652,0.005676442762535478,0.003784295175023652,0.003784295175023652,0.008514664143803218,0.003784295175023652,0.5515610217596972,0.5496688741721855,0.5742667928098392,1.0,0.5600756859035004,0.003784295175023652,0.003784295175023652,0.003784295175023652,0.003784295175023652,0.007568590350047304,0.002838221381267739,0.007568590350047304,0.533585619678335,0.004730368968779565,0.23841059602649006,0.004730368968779565,0.003784295175023652,0.008514664143803218,0.003784295175023652,0.005676442762535478,0.005676442762535478,0.006622516556291391,0.006622516556291391,0.003784295175023652,0.004730368968779565,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.006622516556291391,0.004730368968779565,0.007568590350047304,0.004730368968779565,0.004730368968779565,0.005676442762535478,0.004730368968779565,0.004730368968779565,0.004730368968779565,0.003784295175023652,0.003784295175023652,0.003946329913180742,0.003784295175023652,0.004730368968779565,0.007568590350047304
Ag_15,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.0049586776859504135,0.008264462809917356,0.006611570247933884,0.9553719008264463,0.9504132231404959,0.9752883031301482,0.5600756859035004,1.0,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.008264462809917356,0.013223140495867768,0.006611570247933884,0.006611570247933884,0.9074380165289256,0.008264462809917356,0.4061990212071778,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.006611570247933884,0.006611570247933884,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.009917355371900827,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.006611570247933884,0.003946329913180742,0.006611570247933884,0.006611570247933884,0.006611570247933884
Ag_16,0.026041666666666668,0.020833333333333332,0.020833333333333332,0.026041666666666668,0.026041666666666668,0.015625,0.012658227848101266,0.020512820512820513,0.026041666666666668,0.00984251968503937,0.015625,0.00686106346483705,0.0068846815834767644,0.006589785831960461,0.003784295175023652,0.006611570247933884,1.0,0.9583333333333334,0.9791666666666666,0.015625,0.015625,0.010416666666666666,0.009652509652509652,0.0070921985815602835,0.007067137809187279,0.0065252854812398045,0.03125,0.019138755980861243,0.010309278350515464,0.008849557522123894,0.007054673721340388,0.026041666666666668,0.015625,0.015625,0.02072538860103627,0.015625,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.020689655172413793,0.01749271137026239,0.007707129094412331,0.017595307917888565,0.01744186046511628,0.012448132780082987,0.01729106628242075,0.01744186046511628,0.015625,0.015625,0.026041666666666668,0.004735595895816891,0.026041666666666668,0.015625,0.0088339222614841
Ag_17,0.02717391304347826,0.021739130434782608,0.021739130434782608,0.02717391304347826,0.02717391304347826,0.016304347826086956,0.012658227848101266,0.020512820512820513,0.02717391304347826,0.00984251968503937,0.016304347826086956,0.00686106346483705,0.0068846815834767644,0.006589785831960461,0.003784295175023652,0.006611570247933884,0.9583333333333334,1.0,0.973404255319149,0.016304347826086956,0.016304347826086956,0.010869565217391304,0.009652509652509652,0.0070921985815602835,0.007067137809187279,0.0065252854812398045,0.03260869565217391,0.019138755980861243,0.010309278350515464,0.008849557522123894,0.007054673721340388,0.016304347826086956,0.016304347826086956,0.016304347826086956,0.02072538860103627,0.016304347826086956,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.020689655172413793,0.01749271137026239,0.007707129094412331,0.017595307917888565,0.01744186046511628,0.02074688796680498,0.01729106628242075,0.01744186046511628,0.016304347826086956,0.016304347826086956,0.02717391304347826,0.004735595895816891,0.02717391304347826,0.016304347826086956,0.0088339222614841
Ag_18,0.026595744680851064,0.02127659574468085,0.02127659574468085,0.026595744680851064,0.026595744680851064,0.015957446808510637,0.012658227848101266,0.020512820512820513,0.026595744680851064,0.00984251968503937,0.015957446808510637,0.00686106346483705,0.0068846815834767644,0.006589785831960461,0.003784295175023652,0.006611570247933884,0.9791666666666666,0.973404255319149,1.0,0.015957446808510637,0.015957446808510637,0.010638297872340425,0.009652509652509652,0.0070921985815602835,0.007067137809187279,0.0065252854812398045,0.031914893617021274,0.019138755980861243,0.010309278350515464,0.008849557522123894,0.012345679012345678,0.015957446808510637,0.015957446808510637,0.015957446808510637,0.02072538860103627,0.02127659574468085,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.020689655172413793,0.01749271137026239,0.01348747591522158,0.017595307917888565,0.01744186046511628,0.012448132780082987,0.01729106628242075,0.01744186046511628,0.02127659574468085,0.015957446808510637,0.026595744680851064,0.004735595895816891,0.026595744680851064,0.02127659574468085,0.0088339222614841
Ag_19,0.025477707006369428,0.01910828025477707,0.01910828025477707,0.03184713375796178,0.03184713375796178,0.01910828025477707,0.012658227848101266,0.020512820512820513,0.01910828025477707,0.007874015748031496,0.01910828025477707,0.008576329331046312,0.008605851979345954,0.008237232289950576,0.003784295175023652,0.008264462809917356,0.015625,0.016304347826086956,0.015957446808510637,1.0,0.01910828025477707,0.01910828025477707,0.007722007722007722,0.008865248226950355,0.007067137809187279,0.008156606851549755,0.01910828025477707,0.019138755980861243,0.010309278350515464,0.007079646017699115,0.010582010582010581,0.01910828025477707,0.025477707006369428,0.025477707006369428,0.02072538860103627,0.01910828025477707,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.013793103448275862,0.011661807580174927,0.007707129094412331,0.011730205278592375,0.011627906976744186,0.012448132780082987,0.011527377521613832,0.011627906976744186,0.01910828025477707,0.025477707006369428,0.01910828025477707,0.0031570639305445935,0.01910828025477707,0.01910828025477707,0.007067137809187279
